,Mountain,Metres,Feet,Range,Location,Note,latlng
195,Huascarán Norte,6655.0,21834,"Andes, Peru",,"Andes, Peru, ","[12.21840860109635, -15.641399077978098]"
196,Khumbutse,6640.0,21785,"Himalayas, Nepal (Khumbu)/China – First peak west of Everest",,"Himalayas, Nepal (Khumbu)/China – First peak west of Everest, ","[28.02174000000008, 86.87183000000005]"
197,Mount Kailash,6638.0,21778,"Transhimalaya, western China – Officially unclimbed (attempts not allowed)",,"Transhimalaya, western China – Officially unclimbed (attempts not allowed), ","[31.066640000000064, 81.31249000000008]"
198,Yerupajá,6635.0,21768,"Andes, Peru",,"Andes, Peru, ","[-10.268889999999942, -76.90499999999997]"
199,Nevado Tres Cruces Central,6629.0,21749,"Andes, Chile",,"Andes, Chile, ","[-27.09809999999993, -68.77904999999998]"
200,Thamserku,6623.0,21729,"Himalayas, Nepal (Khumbu)",,"Himalayas, Nepal (Khumbu), ","[27.789690000000064, 86.78520000000003]"
201,Geladaindong Peak,6621.0,21722,"Tanggula, China (Qinghai)",,"Tanggula, China (Qinghai), ","[33.50000000000006, 91.06667000000004]"
202,Incahuasi,6621.0,21722,"Andes, Argentina/Chile",,"Andes, Argentina/Chile, ","[-6.2359091, -79.3167895]"
203,Pangpoche,6620.0,21719,"Himalayas, Nepal",,"Himalayas, Nepal, ","[27.855410000000063, 86.78991000000008]"
204,Manirang,6597.0,21644,"Himalayas, India (Himachal Pradesh)",,"Himalayas, India (Himachal Pradesh), ","[12.964113, 80.202637]"
205,Nilkantha,6596.0,21640,"Himalayas, India (Uttarakhand)",,"Himalayas, India (Uttarakhand), ","[27.920240000000035, 84.93121000000008]"
206,Phuparash Peak,6574.0,21568,"Karakoram, Pakistan",,"Karakoram, Pakistan, ","[35.85158000000007, 74.73906000000005]"
207,Sickle Moon Peak,6574.0,21568,"Himalayas, India (Jammu and Kashmir)",,"Himalayas, India (Jammu and Kashmir), ","[46.74931000000004, 7.80836000000005]"
208,Tupungato,6570.0,21555,"Andes, Argentina/Chile",,"Andes, Argentina/Chile, ","[-33.3663389, -69.1449555]"
209,Buni Zom,6542.0,21463,"Hindu Raj, Pakistan",,"Hindu Raj, Pakistan, ","[36.15810000000005, 72.32060000000007]"
210,Nevado Sajama,6542.0,21463,"Andes, Bolivia – Highest",,"Andes, Bolivia – Highest, ","[-18.10499999999996, -68.87943999999999]"
211,Ghamubar Zom,6518.0,21385,"Hindu Kush, Pakistan",,"Hindu Kush, Pakistan, ",
212,Singu Chuli,6501.0,21329,"Annapurna Himalayas, Nepal",,"Annapurna Himalayas, Nepal, ","[28.590190000000064, 83.88429000000008]"
213,Taboche,6501.0,21329,"Himalayas, Nepal (Khumbu)",,"Himalayas, Nepal (Khumbu), ","[27.900000000000034, 86.78000000000009]"
214,Cerro El Muerto,6488.0,21286,"Andes, Argentina/Chile",,"Andes, Argentina/Chile, ","[23.57869000000005, -109.84572999999995]"
215,Mera Peak,6476.0,21247,"Himalayas, Nepal (Khumbu)",,"Himalayas, Nepal (Khumbu), ","[27.70917000000003, 86.86830000000003]"
216,Hiunchuli,6441.0,21132,"Annapurna Himalaya, Nepal",,"Annapurna Himalaya, Nepal, ","[28.510860000000037, 83.84843000000006]"
217,Cholatse,6440.0,21129,"Himalayas, Nepal (Khumbu)",,"Himalayas, Nepal (Khumbu), ","[27.902340000000038, 86.76962000000003]"
218,Illimani,6438.0,21122,"Andes, Bolivia",,"Andes, Bolivia, ","[-17.2841234, -64.6504595]"
219,Ancohuma,6427.0,21086,"Andes, Bolivia",,"Andes, Bolivia, ","[-15.749999999999943, -68.54999999999995]"
220,Coropuna,6425.0,21079,"Andes, Peru",,"Andes, Peru, ","[-15.546989999999937, -72.66155999999995]"
221,Antofalla,6409.0,21027,"Andes, Argentina",,"Andes, Argentina, ","[-25.5174552, -67.6178849]"
222,Kang Yatze,6400.0,20997,"Ladakh, Himalayas, India (Jammu and Kashmir)",,"Ladakh, Himalayas, India (Jammu and Kashmir), ","[-25.756312, 28.307063]"
223,Huandoy,6395.0,20981,"Andes, Peru",,"Andes, Peru, ","[-9.034439999999961, -77.66888999999998]"
224,Ausangate,6384.0,20945,"Andes, Peru",,"Andes, Peru, ","[-13.78827999999993, -71.22865999999993]"
225,Chapaev Peak,6371.0,20902,"Tian Shan, Kyrgyzstan",,"Tian Shan, Kyrgyzstan, ","[32.82153000000005, 67.18915000000004]"
226,Illampu,6368.0,20892,"Andes, Bolivia",,"Andes, Bolivia, ","[-16.494715, -68.140336]"
227,Kusum Kangguru,6367.0,20889,"Himalayas, Nepal (Khumbu)",,"Himalayas, Nepal (Khumbu), ","[-27.3424706, 23.858964]"
228,Kinnaur Kailash,6349.0,20830,"Himalayas, Kinnaur, India (Himachal Pradesh)",,"Himalayas, Kinnaur, India (Himachal Pradesh), ","[31.52105000000006, 78.36280000000005]"
229,Parinaquta,6348.0,20827,"Andes, Bolivia/Chile",,"Andes, Bolivia/Chile, ","[-18.2622771500926, -69.3816444504488]"
230,Siula Grande,6344.0,20814,"Andes, Peru",,"Andes, Peru, ","[-10.294439999999952, -76.89110999999997]"
231,Bamba Dhura,6334.0,20781,"Himalayas, India (Uttarakhand)",,"Himalayas, India (Uttarakhand), ","[23.802227, 86.676968]"
232,Ampato,6288.0,20630,"Andes, Peru",,"Andes, Peru, ","[-15.183179999999936, -71.40513999999996]"
233,Amne Machin,6282.0,20610,"Kunlun Mountains, China (Qinghai)",,"Kunlun Mountains, China (Qinghai), ","[34.50000000000006, 100.00000000000006]"
234,Pomerape,6282.0,20610,"Andes, Bolivia/Chile",,"Andes, Bolivia/Chile, ",
235,Salcantay,6271.0,20574,"Andes, Peru",,"Andes, Peru, ","[-13.515148, -71.979579]"
236,Chimborazo,6267.0,20561,"Andes, Ecuador – Furthest point from Earth's center",,"Andes, Ecuador – Furthest point from Earth's center, ","[-1.4695199999999318, -78.81685999999996]"
237,Mount Siguniang,6250.0,20505,"Qionglai Mountains, China (Sichuan)",,"Qionglai Mountains, China (Sichuan), ","[31.106760000000065, 102.90379000000007]"
238,Grid Nie Mountain,6224.0,20420,"Hengduan Mountains, China (Sichuan)",,"Hengduan Mountains, China (Sichuan), ","[35.92254885600005, 14.400072590000036]"
239,Yuzhu Peak,6224.0,20420,"Kunlun Mountains, China (Qinghai)",,"Kunlun Mountains, China (Qinghai), ","[35.134010000000046, 95.63267000000008]"
240,Genyen Massif,6204.0,20354,"Shaluli Range, China (Sichuan)",,"Shaluli Range, China (Sichuan), ","[-23.5815843, -46.6380669]"
241,Kongde Ri,6187.0,20299,"Himalayas, Nepal (Khumbu)",,"Himalayas, Nepal (Khumbu), ","[37.238890000000026, 127.1186100000001]"
242,Aucanquilcha,6176.0,20262,"Andes, Chile",,"Andes, Chile, ","[-21.200089999999932, -68.46893999999998]"
243,Imja Tse,6189.0,20305,"Himalayas, Nepal (Khumbu)",,"Himalayas, Nepal (Khumbu), ","[27.92509000000007, 86.93763000000007]"
244,Denali (Mount McKinley),6168.0,20236,"Alaska Range, United States (Alaska) – Highest in North America",,"Alaska Range, United States (Alaska) – Highest in North America, ","[33.16003321863408, -96.70890743063674]"
245,Stok Kangri,6137.0,20135,"Himalayas, India (Jammu and Kashmir)",,"Himalayas, India (Jammu and Kashmir), ","[31.9920542, 76.6085789]"
246,Lobuche,6119.0,20075,"Himalayas, Nepal (Khumbu)",,"Himalayas, Nepal (Khumbu), ","[27.948060000000055, 86.81017000000008]"
247,Marmolejo,6108.0,20039,"Andes, Argentina/Chile",,"Andes, Argentina/Chile, ","[24.1343734, -99.7846651]"
248,Laila Peak (Hushe Valley),6096.0,20000,"Karakoram, Pakistan",,"Karakoram, Pakistan, ","[32.817417, -85.171465]"
249,Pisang Peak,6091.0,19984,"Annapurna Himalaya, Nepal",,"Annapurna Himalaya, Nepal, ","[28.64721000000003, 84.18454000000008]"
250,Huayna Potosí,6088.0,19974,"Andes, Bolivia",,"Andes, Bolivia, ","[-16.2626053, -68.1521641]"
251,Aracar,6082.0,19954,"Andes, Argentina",,"Andes, Argentina, ","[-24.299999999999955, -67.78332999999998]"
252,Chachakumani,6074.0,19928,"Andes, Bolivia",,"Andes, Bolivia, ","[-15.985479999999939, -68.38055999999995]"
253,Chachani,6057.0,19872,"Andes, Peru",,"Andes, Peru, ","[-5.243529999999964, 39.76830000000007]"
254,Mianzimu,6054.0,19862,"Yunnan, China",,"Yunnan, China, ","[30.85000000000008, 117.55833000000007]"
255,Acotango,6052.0,19856,"Andes, Bolivia/Chile",,"Andes, Bolivia/Chile, ","[-34.5763806, -58.4118608]"
256,Socompa,6051.0,19852,"Andes, Argentina/Chile",,"Andes, Argentina/Chile, ","[-24.39543999999995, -68.24621999999994]"
257,Minglik Sar,6050.0,19849,"Karakoram, Pakistan",,"Karakoram, Pakistan, ","[64.130158, -20.318517]"
258,Acamarachi,6046.0,19836,"Andes, Chile",,"Andes, Chile, ","[34.89568986000006, 136.98713248]"
259,Shayaz,6026.0,19770,"Hindu Kush, Pakistan",,"Hindu Kush, Pakistan, ","[36.63852000000003, 72.81927000000007]"
260,Hualca Hualca,6025.0,19767,"Andes, Peru",,"Andes, Peru, ","[-15.139399999999966, -71.13016999999996]"
261,Uturunku,6020.0,19751,"Andes, Bolivia",,"Andes, Bolivia, ","[-19.149999999999977, -64.58332999999993]"
262,Mitre Peak,6010.0,19718,"Karakoram, Pakistan",,"Karakoram, Pakistan, ","[38.65110000000004, -105.19803999999999]"
263,Laila Peak,5971.0,19590,Himalaya  ,Pakistan,"Himalaya, Pakistan","[-9.399999999999977, 14.850000000000023]"
264,Mount Logan,5959.0,19551,Saint Elias Mountains  ,"Yukon, Canada – Highest in Canada","Saint Elias Mountains, Yukon, Canada – Highest in Canada","[60.56707000000006, -140.40522999999996]"
265,Alpamayo,5947.0,19511,Andes  ,Peru,"Andes, Peru","[-31.74192, -65.00057]"
266,Cerro Lípez,5929.0,19452,Andes  ,Bolivia,"Andes, Bolivia","[-21.883329999999944, -66.86666999999994]"
267,Licancabur,5920.0,19423,Andes  ,Bolivia/Chile,"Andes, Bolivia/Chile","[-22.4542442, -68.9252242]"
268,Falak Sar,5918.0,19416,Hindu Kush  ,Pakistan,"Hindu Kush, Pakistan","[-33.9075617, 18.4761395]"
269,Cotopaxi,5897.0,19347,Andes  ,Ecuador – Second highest in Ecuador,"Andes, Ecuador – Second highest in Ecuador","[-0.6805599999999572, -78.43776999999994]"
270,Mount Kilimanjaro,5895.0,19341,Eastern Rift Mountains  ,Tanzania – Highest in Africa,"Eastern Rift Mountains, Tanzania – Highest in Africa","[-3.0758299999999394, 37.35333000000003]"
271,Hkakabo Razi,5881.0,19295,Himalayas  ,Myanmar – Highest in Myanmar and Southeast Asia,"Himalayas, Myanmar – Highest in Myanmar and Southeast Asia","[28.332190000000026, 97.53353000000004]"
272,San José,5856.0,19213,Andes  ,Chile,"Andes, Chile","[9.9331345, -84.0797794]"
273,El Misti,5822.0,19101,Andes  ,Peru,"Andes, Peru","[41.9461918, 12.3909537]"
274,Altun Shan,5798.0,19022,Altyn-Tagh  ,"Gansu, China","Altyn-Tagh, Gansu, China","[38.60000000000008, 89.00000000000006]"
275,Cayambe,5790.0,18996,Andes  ,Ecuador – Third highest in Ecuador,"Andes, Ecuador – Third highest in Ecuador","[0.0401958, -78.142177]"
276,Pico Cristóbal Colón,5776.0,18950,Sierra Nevada de Santa Marta  ,Colombia – Highest coastal mountain,"Sierra Nevada de Santa Marta, Colombia – Highest coastal mountain","[10.839040000000068, -73.68752999999998]"
277,Antisana,5753.0,18875,Andes  ,Ecuador,"Andes, Ecuador","[-0.48476999999996906, -78.14172999999994]"
278,Nevado Pisco,5752.0,18871,Andes  ,Peru,"Andes, Peru","[-54.00916999999998, -37.92166999999995]"
279,Nevado Anallajsi,5750.0,18865,Andes  ,Bolivia,"Andes, Bolivia","[-17.933329999999955, -68.93332999999996]"
280,Pokalde,5745.0,18848,Khumbu Himalayas  ,Nepal – 7 km SW of Everest,"Khumbu Himalayas, Nepal – 7 km SW of Everest","[27.920290000000023, 86.83535000000006]"
281,Ubinas,5672.0,18609,Andes  ,Peru – Active volcano (2006),"Andes, Peru – Active volcano (2006)","[-16.3866763, -70.8586182]"
282,Pichu Pichu,5664.0,18583,Andes  ,Peru,"Andes, Peru","[-16.3635353, -67.8017199]"
283,Mount Elbrus,5642.0,18510,Caucasus Mountains  ,"North Caucasus, Russia – Highest in Caucasus","Caucasus Mountains, North Caucasus, Russia – Highest in Caucasus","[43.355000000000075, 42.43917000000005]"
284,Mehrbani Peak,5639.0,18501,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.92503000000005, 56.143590000000074]"
285,Pico de Orizaba,5636.0,18491,Trans-Mexican Volcanic Belt  ,Mexico – Highest in Mexico,"Trans-Mexican Volcanic Belt, Mexico – Highest in Mexico","[19.03084000000007, -97.27081999999996]"
286,Mount Damavand,5610.0,18406,Alborz  ,"Iran – Highest in Iran and ME, highest volcano in Asia","Alborz, Iran – Highest in Iran and ME, highest volcano in Asia","[35.955080000000066, 52.11005000000006]"
287,Nevado Mismi,5597.0,18363,Andes  ,Peru – Glacial source of the Amazon River,"Andes, Peru – Glacial source of the Amazon River","[-15.525279999999952, -71.69082999999995]"
288,Jade Dragon Snow Mountain,5596.0,18360,Hengduan Mountains  ,"Yunnan, China","Hengduan Mountains, Yunnan, China","[27.166670000000067, 100.33333000000005]"
289,Lascar Volcano,5592.0,18346,Andes  ,Chile,"Andes, Chile","[-23.363069999999936, -67.73146999999994]"
290,Mount Xuebaoding,5588.0,18333,Min Mountains  ,"Sichuan, China","Min Mountains, Sichuan, China","[32.66667000000007, 103.83333000000005]"
291,Kala Patthar,5545.0,18192,Khumbu Himalayas  ,Nepal – Popular trekking peak,"Khumbu Himalayas, Nepal – Popular trekking peak","[28.633746, 77.3591598]"
292,Mount Saint Elias,5489.0,18009,Saint Elias Mountains  ,"Yukon, Canada/Alaska, US – Second highest in both countries","Saint Elias Mountains, Yukon, Canada/Alaska, US – Second highest in both countries","[60.293210000000045, -140.92978]"
293,Concord Peak,5469.0,17943,Pamir Mountains  ,Afghanistan–Tajikistan,"Pamir Mountains, Afghanistan–Tajikistan","[37.33300000000003, 73.76600000000008]"
294,Dindaw Razi,5464.0,17927,Himalayas  ,Myanmar,"Himalayas, Myanmar","[-1.699101, 29.8755612]"
295,Machoi Peak,5458.0,17907,Himalaya  ,India (Jammu and Kashmir),"Himalaya, India (Jammu and Kashmir)","[50.50991000000005, 16.301220000000058]"
296,El Plomo,5450.0,17881,Andes  ,Chile,"Andes, Chile","[8.16181, -72.50361]"
297,Bogda Feng,5445.0,17864,Tien Shan  ,"Xinjiang, China","Tien Shan, Xinjiang, China","[43.75000000000006, 88.53333000000003]"
298,Mount Little Xuebaoding,5443.0,17858,Min Mountains  ,"Sichuan, China","Min Mountains, Sichuan, China","[32.66667000000007, 103.83333000000005]"
299,Cerro El Plomo,5434.0,17828,Andes  ,Chile – Largest peak visible from Santiago on clear days,"Andes, Chile – Largest peak visible from Santiago on clear days","[-26.063799999999958, -69.34227999999996]"
300,Popocatépetl,5426.0,17802,Trans-Mexican Volcanic Belt  ,Mexico – Second highest in Mexico,"Trans-Mexican Volcanic Belt, Mexico – Second highest in Mexico","[19.02222000000006, -98.62777999999997]"
301,Kolahoi Peak,5425.0,17799,Himalaya  ,India (Jammu and Kashmir) – Highest in Kashmir Valley,"Himalaya, India (Jammu and Kashmir) – Highest in Kashmir Valley","[34.16584000000006, 75.32855000000006]"
302,Chacaltaya,5421.0,17785,Andes  ,Bolivia,"Andes, Bolivia","[-16.3514065, -68.1298264]"
303,Mount Pomiu,5413.0,17759,Qionglai Range  ,"Sichuan, China","Qionglai Range, Sichuan, China","[39.325661111000045, -76.41375555599996]"
304,Ritacuba Blanco,5410.0,17749,Andes  ,Colombia,"Andes, Colombia","[11.130752, -74.22773]"
305,Haba Xueshan,5396.0,17703,Himalaya  ,"Yunnan, China","Himalaya, Yunnan, China","[27.075800000000072, 104.12500000000006]"
306,Nevado del Ruiz,5389.0,17680,Andes  ,"Colombia – 23,000 people died in 1985 eruption","Andes, Colombia – 23,000 people died in 1985 eruption","[4.892500000000041, -75.32360999999997]"
307,Nevado del Huila,5364.0,17598,Andes  ,Colombia,"Andes, Colombia","[2.933330000000069, -76.03332999999998]"
308,El Altar,5320.0,17454,Andes  ,Ecuador,"Andes, Ecuador","[-1.5304083, -78.5071444]"
309,Mount Foraker,5304.0,17402,Alaska Range  ,"Alaska, US","Alaska Range, Alaska, US","[62.960830000000044, -151.39805999999996]"
310,Mount Haramukh,5300.0,17388,Himalaya  ,India (Jammu and Kashmir),"Himalaya, India (Jammu and Kashmir)","[34.333330000000046, 75.01667000000003]"
311,Nevado del Tolima,5276.0,17310,Andes  ,Colombia,"Andes, Colombia","[4.670000000000073, -75.32999999999998]"
312,Maipo,5264.0,17270,Andes  ,Argentina/Chile,"Andes, Argentina/Chile","[-33.7482746, -70.9036597]"
313,Illiniza,5248.0,17218,Andes  ,Ecuador,"Andes, Ecuador","[-0.6614799999999263, -78.71531999999996]"
314,Point 5240,5240.0,17192,Himalaya  ,"Jammu and Kashmir, India","Himalaya, Jammu and Kashmir, India","[-18.6468871, -48.1836623]"
315,Sirbal Peak,5236.0,17178,Himalaya  ,"Kashmir Valley, India (Jammu and Kashmir)","Himalaya, Kashmir Valley, India (Jammu and Kashmir)","[58.61925000000008, 6.490270000000066]"
316,Sangay,5230.0,17159,Andes  ,Ecuador,"Andes, Ecuador","[31.22222000000005, 121.45806000000005]"
317,Iztaccíhuatl,5230.0,17159,Trans-Mexican Volcanic Belt  ,Mexico – Third highest in Mexico,"Trans-Mexican Volcanic Belt, Mexico – Third highest in Mexico","[19.177880000000073, -98.64121999999998]"
318,Mount Lucania,5226.0,17146,Saint Elias Mountains  ,"Yukon, Canada – Third highest in Canada","Saint Elias Mountains, Yukon, Canada – Third highest in Canada","[61.02194000000003, -140.46276999999998]"
319,Karakol Peak,5216.0,17113,Tian Shan  ,Kyrgyzstan,"Tian Shan, Kyrgyzstan","[42.087870000000066, 20.910430000000076]"
320,Dykh-Tau,5205.0,17077,Caucasus Mountains  ,"North Caucasus, Russia – Second highest in the Caucasus","Caucasus Mountains, North Caucasus, Russia – Second highest in the Caucasus","[43.051600000000064, 43.132420000000025]"
321,Shkhara,5201.0,17064,Caucasus Mountains  ,Georgia – Highest in Georgia,"Caucasus Mountains, Georgia – Highest in Georgia","[42.99944000000005, 43.11167000000006]"
322,Mount Kenya,5199.0,17057,  ,"Kenya – Highest in Kenya, Second highest in Africa",", Kenya – Highest in Kenya, Second highest in Africa","[-0.14999999999997726, 37.30000000000007]"
323,Malika Parbat,5190.0,17028,Himalaya  ,"Kaghan Valley, Pakistan – Highest in Kaghan Valley of Pakistan","Himalaya, Kaghan Valley, Pakistan – Highest in Kaghan Valley of Pakistan","[34.82239000000004, 73.72503000000006]"
324,Amarnath Peak,5186.0,17014,Himalaya  ,"Kashmir Valley, India (Jammu and Kashmir)","Himalaya, Kashmir Valley, India (Jammu and Kashmir)","[34.22371000000004, 75.48447000000004]"
325,Laram Q'awa (Charaña),5182.0,17001,Andes  ,Bolivia,"Andes, Bolivia","[-17.5932465, -69.4464523]"
326,King Peak,5173.0,16972,Saint Elias Mountains  ,"Yukon, Canada – Fourth highest in Canada","Saint Elias Mountains, Yukon, Canada – Fourth highest in Canada","[34.565300000000036, -113.23047999999994]"
327,Boris Yeltsin Peak,5168.0,16955,Teskey Ala-Too  ,Kyrgyzstan,"Teskey Ala-Too, Kyrgyzstan","[37.35221000000007, 23.520020000000045]"
328,Koshtan-Tau,5150.0,16896,Caucasus Mountains  ,"North Caucasus, Russia","Caucasus Mountains, North Caucasus, Russia","[43.049600000000055, 43.21276000000006]"
329,Mount Ararat,5137.0,16854,  ,Turkey – Highest in Turkey,", Turkey – Highest in Turkey","[39.702240000000074, 44.29800000000006]"
330,Mount Stanley,5109.0,16762,Ruwenzori Mountains  ,Democratic Republic of the Congo/Uganda – Third highest in Africa,"Ruwenzori Mountains, Democratic Republic of the Congo/Uganda – Third highest in Africa","[-26.6066168, 152.1754093]"
331,Tami Razi,5101.0,16736,Himalayas  ,Myanmar,"Himalayas, Myanmar","[28.050000000000068, 97.31667000000004]"
332,Mount Steele,5073.0,16644,Saint Elias Mountains  ,"Yukon, Canada – Fifth highest in Canada","Saint Elias Mountains, Yukon, Canada – Fifth highest in Canada","[41.83774000000005, -106.99753999999996]"
333,Janga,5051.0,16572,Caucasus Mountains  ,"Georgia / North Caucasus, Russia – Second highest in Georgia","Caucasus Mountains, Georgia / North Caucasus, Russia – Second highest in Georgia","[-7.9358702, -34.8245676]"
334,Mount Kazbek,5047.0,16558,Caucasus Mountains  ,Georgia – Third highest in the country,"Caucasus Mountains, Georgia – Third highest in the country","[42.69708000000003, 44.51792000000006]"
335,Tungurahua,5023.0,16480,Andes  ,Ecuador – Active volcano,"Andes, Ecuador – Active volcano","[-1.2947432360300293, -78.5073465191291]"
336,Carihuairazo,5018.0,16463,Andes  ,Ecuador,"Andes, Ecuador","[-1.4069399999999632, -78.74999999999994]"
337,Mount Bona,5005.0,16421,Saint Elias Mountains  ,"Alaska, US – Also given as 5,030 m or 5,045m","Saint Elias Mountains, Alaska, US – Also given as 5,030 m or 5,045m","[61.385560000000055, -141.74860999999999]"
